date_transformed,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
2021-01-04,1023,0.0075,NA,NA,NA,NA,NA,NA
2021-01-10,1023,0.025500000000000002,NA,NA,NA,NA,NA,NA
2021-01-16,1023,0.038,NA,NA,NA,NA,NA,NA
2021-01-22,1023,0.013,NA,NA,NA,NA,NA,NA
2021-01-28,1023,0.0375,NA,NA,NA,NA,NA,NA
2021-02-03,1023,0.013,NA,NA,NA,NA,NA,NA
2021-02-09,1023,0.014499999999999999,NA,NA,NA,NA,NA,NA
2021-02-15,1023,0.0395,NA,NA,NA,NA,NA,NA
2021-02-21,1023,0.002,NA,NA,NA,NA,NA,NA
2021-02-27,1023,0.022,NA,NA,NA,NA,NA,NA
2021-03-05,1023,0.024,NA,NA,NA,NA,NA,NA
2021-03-11,1023,0.008,NA,NA,NA,NA,NA,NA
2021-03-17,1023,0.003,NA,NA,NA,NA,NA,NA
2021-03-23,1023,0.0075,NA,NA,NA,NA,NA,NA
2021-03-29,1023,0.016,NA,NA,NA,NA,NA,NA
2021-04-04,1023,0.0055,NA,NA,NA,NA,NA,NA
2021-04-10,1023,0.009,NA,NA,NA,NA,NA,NA
2021-04-16,1023,0.008,NA,NA,NA,NA,NA,NA
2021-04-22,1023,0.011,NA,NA,NA,NA,NA,NA
2021-04-28,1023,0.010499999999999999,NA,NA,NA,NA,NA,NA
2021-05-04,1023,0.005,NA,NA,NA,NA,NA,NA
2021-05-10,1023,0.025,NA,NA,NA,NA,NA,NA
2021-05-16,1023,0.007,NA,NA,NA,NA,NA,NA
2021-05-22,1023,0.0235,NA,NA,NA,NA,NA,NA
2021-05-28,1023,0.0085,NA,NA,NA,NA,NA,NA
2021-06-03,1023,0.011,NA,NA,NA,NA,NA,NA
2021-06-09,1023,0.027,NA,NA,NA,NA,NA,NA
2021-06-15,1023,0.0185,NA,NA,NA,NA,NA,NA
2021-06-17,1023,0.007,NA,NA,NA,NA,NA,NA
2021-06-21,1023,0.004,NA,NA,NA,NA,NA,NA
2021-06-27,1023,0.0155,NA,NA,NA,NA,NA,NA
2021-07-03,1023,0.006,NA,NA,NA,NA,NA,NA
2021-07-09,1023,0.0115,NA,NA,NA,NA,NA,NA
2021-07-15,1023,0.02,NA,NA,NA,NA,NA,NA
2021-07-21,1023,0.011,NA,NA,NA,NA,NA,NA
2021-07-27,1023,0.002,NA,NA,NA,NA,NA,NA
2021-08-02,1023,0.013,NA,NA,NA,NA,NA,NA
2021-08-08,1023,0.025500000000000002,NA,NA,NA,NA,NA,NA
2021-08-14,1023,0.009,NA,NA,NA,NA,NA,NA
2021-08-20,1023,0.007,NA,NA,NA,NA,NA,NA
2021-08-26,1023,0.0085,NA,NA,NA,NA,NA,NA
2021-09-01,1023,0.035500000000000004,NA,NA,NA,NA,NA,NA
2021-09-07,1023,0.0095,NA,NA,NA,NA,NA,NA
2021-09-13,1023,0.01,NA,NA,NA,NA,NA,NA
2021-09-19,1023,0.01,NA,NA,NA,NA,NA,NA
2021-09-25,1023,0.002,NA,NA,NA,NA,NA,NA
2021-10-01,1023,0.0215,NA,NA,NA,NA,NA,NA
2021-10-07,1023,0.0285,NA,NA,NA,NA,NA,NA
2021-10-13,1023,0.0165,NA,NA,NA,NA,NA,NA
2021-10-19,1023,0.016,NA,NA,NA,NA,NA,NA
2021-10-25,1023,0.0115,NA,NA,NA,NA,NA,NA
2021-10-31,1023,0.0075,NA,NA,NA,NA,NA,NA
2021-11-06,1023,0.015,NA,NA,NA,NA,NA,NA
2021-11-12,1023,0.006500000000000001,NA,NA,NA,NA,NA,NA
2021-11-18,1023,0.0045000000000000005,NA,NA,NA,NA,NA,NA
2021-11-24,1023,0.009,NA,NA,NA,NA,NA,NA
2021-11-30,1023,0.0265,NA,NA,NA,NA,NA,NA
2021-12-06,1023,0.0265,NA,NA,NA,NA,NA,NA
2021-12-08,1023,0.010499999999999999,NA,NA,NA,NA,NA,NA
2021-12-14,1023,0.0025,NA,NA,NA,NA,NA,NA
2021-12-18,1023,0.01,NA,NA,NA,NA,NA,NA
2021-12-24,1023,0.001,NA,NA,NA,NA,NA,NA
2021-12-30,1023,0.010499999999999999,NA,NA,NA,NA,NA,NA
2021-01-01,1017,NA,0.572619,NA,13.045455,NA,NA,7.9
2021-01-01,1022,NA,0.5661430000000001,0.1308272,14.2619045,0.01927575,38,30.2
2021-01-02,1017,NA,0.6194445,NA,17.454545,NA,NA,NA
2021-01-02,1022,NA,0.5469919999999999,0.1289224,16.9761905,0.0199785,NA,17.2
2021-01-03,1017,NA,0.5888255,NA,14.545455,NA,NA,NA
2021-01-03,1022,NA,0.4738175,0.0977008,12.785714500000001,0.021478999999999998,NA,16.9
2021-01-04,1017,NA,0.5761905,NA,16.090909,NA,NA,14.7
2021-01-04,1022,NA,0.459,0.0764122,13.1190475,0.0208395,29,17
2021-01-05,1017,NA,0.6349205,NA,17.722222,NA,NA,NA
2021-01-05,1022,NA,0.5073885,0.0931626,14.571428999999998,0.01533725,NA,19.6
2021-01-06,1017,NA,0.8130955,NA,24.954545,NA,NA,NA
2021-01-06,1022,NA,0.7086589999999999,0.132519,18.833333500000002,0.0120375,NA,24.9
2021-01-07,1017,NA,0.8694445,NA,28,NA,NA,13.6
2021-01-07,1022,NA,0.6493045,0.1363684,19.436508,0.01737375,32,17.9
2021-01-08,1017,NA,0.8365075,NA,26.227273,NA,NA,NA
2021-01-08,1022,NA,0.7788335,0.1400575,23.4126985,0.01337975,NA,22.2
2021-01-09,1017,NA,0.8039685,NA,24.954545,NA,NA,NA
2021-01-09,1022,NA,0.670405,0.167437,21.214286,0.02358225,NA,27.2
2021-01-10,1017,NA,0.5797345,NA,17.545455,NA,NA,4.9
2021-01-10,1022,NA,0.5296035,0.1636996,17.5238095,0.020716500000000002,27,17.2
2021-01-11,1017,NA,0.604762,NA,22.681818,NA,NA,NA
2021-01-11,1022,NA,0.5094445000000001,0.1335306,19.309524,0.0199525,NA,11
2021-01-12,1017,NA,0.6,NA,24.727273,NA,NA,NA
2021-01-12,1022,NA,0.46799999999999997,0.1622962,20.25,0.02182025,NA,10.4
2021-01-13,1017,NA,0.7301584999999999,NA,29.272727,NA,NA,7
2021-01-13,1022,NA,0.5904285,0.1660524,23.261905,0.01664875,25,10.1
2021-01-14,1017,NA,0.773191,NA,25.590909,NA,NA,NA
2021-01-14,1022,NA,0.5399365,0.16195400000000001,21,0.018932749999999998,NA,8.3
2021-01-15,1017,NA,0.6920634999999999,NA,23.090909,NA,NA,NA
2021-01-15,1022,NA,0.49703200000000003,0.1524132,20.904761999999998,0.0188375,NA,6.4
2021-01-16,1017,NA,0.96627,NA,27.772727,NA,NA,6.2
2021-01-16,1022,NA,0.596778,0.21668220000000002,20.6190475,0.02119375,30,13.5
2021-01-17,1017,NA,0.6532199999999999,NA,17.954545,NA,NA,NA
2021-01-17,1022,NA,0.516016,0.1812502,19.047618999999997,0.0217895,NA,13.5
2021-01-18,1017,NA,0.6869050000000001,NA,21.681818,NA,NA,NA
2021-01-18,1022,NA,0.465032,0.1164484,15.7142855,0.02419025,NA,12.8
2021-01-19,1017,NA,0.325397,NA,7.590909,NA,NA,6.6
2021-01-19,1022,NA,0.22472999999999999,0.0605722,3.696742,0.0350735,24,6.4
2021-01-20,1017,NA,0.190873,NA,5.818182,NA,NA,NA
2021-01-20,1022,NA,0.1950395,0.0067696,4.2857145,0.0286965,NA,NA
2021-01-21,1017,NA,0.526984,NA,16.904762,NA,NA,NA
2021-01-21,1022,NA,0.275687,0.08958440000000001,10,0.0193075,NA,6.3
2021-01-22,1017,NA,0.4428575,NA,12.863636,NA,NA,7
2021-01-22,1022,NA,0.23142300000000002,0.0613166,6.9761905,0.0284205,17,7
2021-01-23,1017,NA,0.33730150000000003,NA,9.727273,NA,NA,NA
2021-01-23,1022,NA,0.24627,0.0267728,6.119048,0.02628925,NA,5.6
2021-01-24,1017,NA,0.3859845,NA,9.454545,NA,NA,NA
2021-01-24,1022,NA,0.2910315,0.06810680000000001,6.357143000000001,0.02699375,NA,7.3
2021-01-25,1017,NA,0.2103175,NA,3.681818,NA,NA,4.2
2021-01-25,1022,NA,0.1867765,1.3725e-4,1.9,0.04217175,15,4
2021-01-26,1017,NA,0.4718255,NA,16.363636,NA,NA,NA
2021-01-26,1022,NA,0.12075,0.06706960000000001,6.8809525,0.029726000000000002,NA,6
2021-01-27,1017,NA,0.5178575,NA,18.318182,NA,NA,NA
2021-01-28,1017,NA,0.443254,NA,16.409091,NA,NA,6.4
2021-01-28,1022,NA,0.387699,0.118172,12.6190475,0.0275315,23,9.4
2021-01-29,1017,NA,0.33809500000000003,NA,10.5,NA,NA,NA
2021-01-29,1022,NA,0.30932550000000003,0.0015936,7.9761904999999995,0.024507750000000002,NA,7.4
2021-01-30,1017,NA,0.6166665,NA,14.181818,NA,NA,NA
2021-01-30,1022,NA,0.46503150000000004,0.0662418,11.833333,0.022111,NA,13.9
2021-01-31,1017,NA,0.629356,NA,17.045455,NA,NA,5.4
2021-01-31,1022,NA,0.467619,0.09841960000000001,13.071428999999998,0.018959,19,12.7
