date,site_number,TSP,CM,SD,NO2,OZ,PM10,PM2.5
1/6/23,1023,0.007,NA,NA,NA,NA,NA,NA
1/12/23,1023,0.013,NA,NA,NA,NA,NA,NA
1/18/23,1023,0.006,NA,NA,NA,NA,NA,NA
1/30/23,1023,0,NA,NA,NA,NA,NA,NA
2/5/23,1023,0.003,NA,NA,NA,NA,NA,NA
2/11/23,1023,0.023,NA,NA,NA,NA,NA,NA
2/17/23,1023,0.013,NA,NA,NA,NA,NA,NA
2/23/23,1023,0.003,NA,NA,NA,NA,NA,NA
3/1/23,1023,0,NA,NA,NA,NA,NA,NA
3/7/23,1023,0.006,NA,NA,NA,NA,NA,NA
3/13/23,1023,0,NA,NA,NA,NA,NA,NA
3/19/23,1023,0.061,NA,NA,NA,NA,NA,NA
3/25/23,1023,0.019,NA,NA,NA,NA,NA,NA
3/31/23,1023,0.0065,NA,NA,NA,NA,NA,NA
4/6/23,1023,0.0085,NA,NA,NA,NA,NA,NA
4/12/23,1023,0.019,NA,NA,NA,NA,NA,NA
4/18/23,1023,0.014,NA,NA,NA,NA,NA,NA
4/24/23,1023,0.016,NA,NA,NA,NA,NA,NA
4/30/23,1023,0.0095,NA,NA,NA,NA,NA,NA
5/6/23,1023,0.005,NA,NA,NA,NA,NA,NA
5/12/23,1023,0.0075,NA,NA,NA,NA,NA,NA
5/18/23,1023,0.018,NA,NA,NA,NA,NA,NA
5/24/23,1023,0.026,NA,NA,NA,NA,NA,NA
5/30/23,1023,0.0025,NA,NA,NA,NA,NA,NA
6/5/23,1023,0.02,NA,NA,NA,NA,NA,NA
6/11/23,1023,0.013,NA,NA,NA,NA,NA,NA
6/14/23,1023,0.007,NA,NA,NA,NA,NA,NA
6/17/23,1023,0.009,NA,NA,NA,NA,NA,NA
6/23/23,1023,0.008,NA,NA,NA,NA,NA,NA
6/29/23,1023,0.010499999999999999,NA,NA,NA,NA,NA,NA
7/5/23,1023,0.0065,NA,NA,NA,NA,NA,NA
7/11/23,1023,0.01,NA,NA,NA,NA,NA,NA
7/17/23,1023,0.02,NA,NA,NA,NA,NA,NA
7/23/23,1023,0.005,NA,NA,NA,NA,NA,NA
7/29/23,1023,0.0125,NA,NA,NA,NA,NA,NA
8/4/23,1023,0.02,NA,NA,NA,NA,NA,NA
8/10/23,1023,0.012,NA,NA,NA,NA,NA,NA
8/16/23,1023,0.004,NA,NA,NA,NA,NA,NA
8/22/23,1023,0.0035,NA,NA,NA,NA,NA,NA
8/28/23,1023,0.015,NA,NA,NA,NA,NA,NA
9/3/23,1023,0.0025,NA,NA,NA,NA,NA,NA
9/9/23,1023,0.009,NA,NA,NA,NA,NA,NA
9/15/23,1023,0.004,NA,NA,NA,NA,NA,NA
9/21/23,1023,0.035,NA,NA,NA,NA,NA,NA
9/27/23,1023,0.025,NA,NA,NA,NA,NA,NA
9/29/23,1023,0.044,NA,NA,NA,NA,NA,NA
10/4/23,1023,0.022,NA,NA,NA,NA,NA,NA
10/9/23,1023,0.0095,NA,NA,NA,NA,NA,NA
10/15/23,1023,0.019000000000000003,NA,NA,NA,NA,NA,NA
10/21/23,1023,0.019,NA,NA,NA,NA,NA,NA
10/27/23,1023,0.0115,NA,NA,NA,NA,NA,NA
11/1/23,1023,0.01,NA,NA,NA,NA,NA,NA
11/3/23,1023,0.0165,NA,NA,NA,NA,NA,NA
11/8/23,1023,0.004,NA,NA,NA,NA,NA,NA
11/16/23,1023,0.0055,NA,NA,NA,NA,NA,NA
11/20/23,1023,0.003,NA,NA,NA,NA,NA,NA
11/26/23,1023,0.008,NA,NA,NA,NA,NA,NA
12/2/23,1023,0.019,NA,NA,NA,NA,NA,NA
12/8/23,1023,0.014,NA,NA,NA,NA,NA,NA
12/14/23,1023,0.007,NA,NA,NA,NA,NA,NA
12/20/23,1023,0.0245,NA,NA,NA,NA,NA,NA
12/26/23,1023,0.006,NA,NA,NA,NA,NA,NA
1/1/23,1017,NA,0.2,NA,2.790909,NA,NA,NA
1/1/23,1022,NA,0.1451665,0,2.228571,0.03680025,22.34375,9.102412263157895
1/2/23,1017,NA,0.30890150000000005,NA,8.2,NA,NA,NA
1/2/23,1022,NA,0.2060555,0.0030204,4.195238,0.03005175,27.060416500000002,11.204605263157895
1/3/23,1017,NA,0.18636350000000002,NA,4.304545,NA,NA,2.7
1/3/23,1022,NA,0.203611,0,5.2,0.025632000000000002,10.1625,4.985307000000001
1/4/23,1017,NA,0.2875,NA,9.245455,NA,NA,NA
