snum,local_site_name,latitude,longitude
1023,Palomar Airport,33.130897,-117.272389
1017,San Diego -Rancho Carmel Drive,32.985428,-117.082198
1022,El Cajon - Lexington Elementary School,32.789565,-116.944308
0001,Chula Vista,32.631242,-117.059088
1006,Alpine,32.842318,-116.768293
1008,Camp Pendleton,33.217046,-117.396249
1014,Donovan,32.578165,-116.921374
1016,San Diego - Kearny Villa Rd.,32.845709,-117.123964
1026,San Diego - Sherman Elementary School,32.710177,-117.142665
1201,Pala Airpad,33.362593,-117.09023
0077,Campo Indian Reservation,32.6509,-116.365
